rgn_id,sciname,iucn_sid,year,eval_yr,category
1,Alopias vulpinus,39339,2018,2009,VU
1,Balaenoptera musculus,2477,2018,2008,EN
1,Carcharhinus melanopterus,39375,2018,2009,NT
1,Cheilinus undulatus,4592,2018,2004,EN
1,Chelonia mydas,4615,2018,2004,EN
1,Eretmochelys imbricata,8005,2018,2008,CR
1,Isurus oxyrinchus,39341,2018,2009,VU
1,Isurus oxyrinchus,161750,2018,2009,VU
1,Lepidochelys olivacea,11534,2018,2008,VU
1,Megaptera novaeangliae,13006,2018,2008,LC
1,Prionace glauca,39381,2018,2009,NT
1,Rhincodon typus,19488,2018,2016,EN
1,Steno bredanensis,20738,2018,2012,LC
1,Triaenodon obesus,39384,2018,2009,NT
1,Alopias vulpinus,39339,2017,2009,VU
1,Balaenoptera musculus,2477,2017,2008,EN
1,Carcharhinus melanopterus,39375,2017,2009,NT
1,Cheilinus undulatus,4592,2017,2004,EN
1,Chelonia mydas,4615,2017,2004,EN
1,Eretmochelys imbricata,8005,2017,2008,CR
1,Isurus oxyrinchus,39341,2017,2009,VU
1,Isurus oxyrinchus,161750,2017,2009,VU
1,Lepidochelys olivacea,11534,2017,2008,VU
1,Megaptera novaeangliae,13006,2017,2008,LC
1,Prionace glauca,39381,2017,2009,NT
1,Rhincodon typus,19488,2017,2016,EN
1,Steno bredanensis,20738,2017,2012,LC
1,Triaenodon obesus,39384,2017,2009,NT
1,Alopias vulpinus,39339,2016,2009,VU
1,Balaenoptera musculus,2477,2016,2008,EN
1,Carcharhinus melanopterus,39375,2016,2009,NT
1,Cheilinus undulatus,4592,2016,2004,EN
1,Chelonia mydas,4615,2016,2004,EN
1,Eretmochelys imbricata,8005,2016,2008,CR
1,Isurus oxyrinchus,39341,2016,2009,VU
1,Isurus oxyrinchus,161750,2016,2009,VU
1,Lepidochelys olivacea,11534,2016,2008,VU
1,Megaptera novaeangliae,13006,2016,2008,LC
1,Prionace glauca,39381,2016,2009,NT
1,Rhincodon typus,19488,2016,2016,EN
1,Steno bredanensis,20738,2016,2012,LC
1,Triaenodon obesus,39384,2016,2009,NT
1,Alopias vulpinus,39339,2015,2009,VU
1,Balaenoptera musculus,2477,2015,2008,EN
1,Carcharhinus melanopterus,39375,2015,2009,NT
1,Cheilinus undulatus,4592,2015,2004,EN
1,Chelonia mydas,4615,2015,2004,EN
1,Eretmochelys imbricata,8005,2015,2008,CR
1,Isurus oxyrinchus,39341,2015,2009,VU
1,Isurus oxyrinchus,161750,2015,2009,VU
1,Lepidochelys olivacea,11534,2015,2008,VU
1,Megaptera novaeangliae,13006,2015,2008,LC
1,Prionace glauca,39381,2015,2009,NT
1,Rhincodon typus,19488,2015,2005,VU
1,Steno bredanensis,20738,2015,2012,LC
1,Triaenodon obesus,39384,2015,2009,NT
1,Alopias vulpinus,39339,2014,2009,VU
1,Balaenoptera musculus,2477,2014,2008,EN
1,Carcharhinus melanopterus,39375,2014,2009,NT
1,Cheilinus undulatus,4592,2014,2004,EN
1,Chelonia mydas,4615,2014,2004,EN
1,Eretmochelys imbricata,8005,2014,2008,CR
1,Isurus oxyrinchus,39341,2014,2009,VU
1,Isurus oxyrinchus,161750,2014,2009,VU
1,Lepidochelys olivacea,11534,2014,2008,VU
1,Megaptera novaeangliae,13006,2014,2008,LC
1,Prionace glauca,39381,2014,2009,NT
1,Rhincodon typus,19488,2014,2005,VU
1,Steno bredanensis,20738,2014,2012,LC
1,Triaenodon obesus,39384,2014,2009,NT
1,Alopias vulpinus,39339,2013,2009,VU
1,Balaenoptera musculus,2477,2013,2008,EN
1,Carcharhinus melanopterus,39375,2013,2009,NT
1,Cheilinus undulatus,4592,2013,2004,EN
1,Chelonia mydas,4615,2013,2004,EN
1,Eretmochelys imbricata,8005,2013,2008,CR
1,Isurus oxyrinchus,39341,2013,2009,VU
1,Isurus oxyrinchus,161750,2013,2009,VU
1,Lepidochelys olivacea,11534,2013,2008,VU
1,Megaptera novaeangliae,13006,2013,2008,LC
1,Prionace glauca,39381,2013,2009,NT
1,Rhincodon typus,19488,2013,2005,VU
1,Steno bredanensis,20738,2013,2012,LC
